City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,puerto ayora,-0.7393,-90.3518,26.98,98,88,1.79,EC,1722292724
83,port mathurin,-19.6833,63.4167,21.95,64,64,5.18,MU,1722292725
84,utrik,11.2278,169.8474,27.54,79,95,6.93,MH,1722292726
85,malazgirt,39.1427,42.5401,16.33,63,0,1.73,TR,1722292727
86,prince rupert,54.3161,-130.3201,16.05,90,100,2.57,CA,1722292728
87,isafjordur,66.0755,-23.124,8.83,88,100,1.8,IS,1722292729
88,remire-montjoly,4.9167,-52.2667,28.02,78,0,3.09,GF,1722292731
89,ambalangoda,6.2355,80.0538,26.14,85,100,4.58,LK,1722292732
90,la serena,-29.9078,-71.2542,11.73,93,40,3.6,CL,1722292733
91,filadelfia,39.9523,-75.1638,31.42,63,75,4.63,US,1722292447
92,katsuura,35.1333,140.3,27.65,80,49,4.44,JP,1722292735
93,fauske,67.2588,15.3918,12.02,94,51,0.61,NO,1722292736
94,novodvinsk,64.4165,40.8122,12.86,97,94,1.94,RU,1722292737
95,staraya kulatka,52.7167,47.6167,18.41,91,100,6.82,RU,1722292739
96,nova sintra,14.8667,-24.7167,24.71,78,26,7.54,CV,1722292740
97,lihue,21.9789,-159.3672,27.77,67,0,5.66,US,1722292741
98,susuman,62.7833,148.1667,16.75,56,100,4.79,RU,1722292742
99,hamilton,39.1834,-84.5333,29.96,75,40,4.63,US,1722292491
100,igarka,67.4667,86.5833,18.42,63,98,7.12,RU,1722292744
101,aitape,-3.1374,142.3475,27.17,79,85,1.36,PG,1722292745
102,odienne,9.51,-7.5692,21.69,98,100,1.55,CI,1722292747
103,yemva,62.59,50.8594,11.87,96,11,1.14,RU,1722292610
104,enewetak,11.3474,162.3373,28.36,77,47,3.13,MH,1722292749
105,ribeira grande,38.5167,-28.7,23.21,81,23,0.45,PT,1722292750
106,chonchi,-42.6128,-73.8092,6.73,88,97,0.4,CL,1722292751
107,non sang,16.8687,102.5664,23.71,96,100,1.78,TH,1722292752
108,san patricio,28.017,-97.5169,33.08,61,12,6.94,US,1722292754
109,fethiye,36.6217,29.1164,24.93,37,0,1.8,TR,1722292755
110,luwuk,-0.9516,122.7875,23.07,91,57,1.59,ID,1722292756
111,porto velho,-8.7619,-63.9039,31.03,62,0,1.03,BR,1722292136
112,constantia,44.1833,28.65,24.38,67,24,5.79,RO,1722292758
113,anadyr,64.75,177.4833,16.28,63,0,2.68,RU,1722292759
114,banamba,13.55,-7.45,24.31,89,100,3.37,ML,1722292761
115,zheleznogorsk-ilimskiy,56.5768,104.1217,18.33,83,35,1.29,RU,1722292762
116,khandyga,62.6667,135.6,14.34,82,100,0.84,RU,1722292763
117,sao felix do xingu,-6.6447,-51.995,28.74,35,78,0.61,BR,1722292764
118,jamestown,42.097,-79.2353,28.8,54,100,3.09,US,1722292538
119,date,42.4681,140.8681,22.23,92,68,5.01,JP,1722292766
120,bayramaly,37.6185,62.1671,27.86,19,0,5.8,TM,1722292767
121,talas,38.6908,35.5538,17.37,59,0,0.51,TR,1722292769
122,zyryanovsk,49.7386,84.2719,15.39,80,95,0.74,KZ,1722292770
123,uglegorsk,49.0833,142.0333,15.76,94,98,4.68,RU,1722292771
